証券コード,EDINETコード,提出者名
51340,E38008,株式会社ｐｌｕｓｚｅｒｏ
51360,E38036,株式会社ＰＯＰＥＲ
55740,E38072,ｔｒｉｐｌａ株式会社
52400,E38109,株式会社ＡＢＥＪＡ
71140,E38157,ｍｏｎｏＡＩ　ｔｅｃｈｎｏｌｏｇｙ株式会社
52460,E38167,株式会社フーディソン
51380,E38169,株式会社ＥＬＥＭＥＮＴＳ
51390,E38171,株式会社Ｒｅｂａｓｅ
52470,E38190,めぶくグラウンド株式会社
52440,E38191,株式会社ＢＴＭ
71160,E38201,株式会社ｊｉｇ．ｊｐ
51370,E38202,ダイワ通信株式会社
52480,E38205,株式会社スマートドライブ
52590,E38256,株式会社テクノロジーズ
52570,E38288,ＢＢＤイニシアティブ株式会社
52500,E38335,ノバシステム株式会社
52410,E38367,プライム・ストラテジー株式会社
71200,E38373,株式会社日本オーエー研究所
52560,E38443,株式会社ＳＨＩＮＫＯ
52540,E38460,株式会社Ｆｕｓｉｃ
52520,E38472,株式会社Ａｒｅｎｔ
52550,E38474,日本ナレッジ株式会社
52530,E38477,株式会社モンスターラボ
52580,E38478,カバー株式会社
55700,E38491,株式会社トランザクション・メディア・ネットワークス
55720,E38541,株式会社ジェノバ
55800,E38567,株式会社Ｒｉｄｇｅ－ｉ
55760,E38641,株式会社プロディライト
55780,E38645,株式会社オービーシステム
55750,E38654,ＡＲアドバンストテクノロジ株式会社
55820,E38662,株式会社Ｇｌｏｂｅｅ
55790,E38683,株式会社グリッド
55770,E38685,株式会社ＧＳＩ
55860,E38690,株式会社アイデミー
55850,E38755,株式会社Ｌａｂｏｒｏ．ＡＩ
55870,E38765,エコナビスタ株式会社
55890,E38911,株式会社ロジック・アンド・デザイン
55880,E38919,株式会社オートサーバー
55910,E38948,ファーストアカウンティング株式会社
55900,E38949,株式会社ＡＶＩＬＥＮ
55920,E38957,株式会社ネットスターズ
48110,E38965,株式会社くすりの窓口
55970,E39009,株式会社ドリーム・アーツ
55990,E39114,ブルーイノベーション株式会社
55960,E39122,Ｓ＆Ｊ株式会社
58680,E39126,アウトルックコンサルティング株式会社
55950,E39136,株式会社ロココ
149A0,E39137,株式会社ＱＰＳ研究所
56160,E39161,株式会社シンカ
56190,E39162,株式会社雨風太陽
56210,E39171,マーソ株式会社
56180,E39194,株式会社ヒューマンテクノロジーズ
137A0,E39203,ナイル株式会社
135A0,E39349,Ｃｏｃｏｌｉｖｅ株式会社
155A0,E39382,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ
145A0,E39405,株式会社情報戦略テクノロジー
148A0,E39409,株式会社Ｌ　ｉｓ　Ｂ
248A0,E39410,株式会社ハッチ・ワーク
173A0,E39449,株式会社キッズスター
147A0,E39460,株式会社ハンモック
175A0,E39483,株式会社ソラコム
208A0,E39487,株式会社Ｗｉｌｌ　Ｓｍａｒｔ
184A0,E39505,株式会社構造計画研究所ホールディングス
202A0,E39653,株式会社学びエイド
198A0,E39691,株式会社豆蔵デジタルホールディングス
215A0,E39708,ＰｏｓｔＰｒｉｍｅ株式会社
220A0,E39760,株式会社タイミー
218A0,E39778,株式会社Ｆａｂｅｒ　Ｃｏｍｐａｎｙ
228A0,E39788,株式会社Ｌｉｂｅｒａｗａｒｅ
241A0,E39846,株式会社オプロ
244A0,E39906,株式会社ＲＯＸＸ
260A0,E39961,グロースエクスパートナーズ株式会社
269A0,E39967,株式会社オルツ
265A0,E39968,株式会社Ｓａｐｅｅｔ
278A0,E40058,Ｈｍｃｏｍｍ株式会社
340A0,E40060,Ｔｅｒｒａ　Ｄｒｏｎｅ株式会社
290A0,E40189,株式会社ジグザグ
304A0,E40216,株式会社Ｓｙｎｓｐｅｃｔｉｖｅ
299A0,E40230,フォルシア株式会社
298A0,E40236,ｄｅｌｙ株式会社
323A0,E40253,ＧＶＡ　ＴＥＣＨ株式会社
330A0,E40354,株式会社フライヤー
332A0,E40399,株式会社ＴａｌｅｎｔＸ
338A0,E40400,ミーク株式会社
336A0,E40429,株式会社ＺｅｎｍｕＴｅｃｈ
334A0,E40432,ダイナミックマッププラットフォーム株式会社
